pub_key,Publisher
pub_766,B.S. Brown
pub_767,William Boell
pub_768,J.F. Watson Lithography
pub_769,Charles Baum
pub_770,T.S. Wagner's Lithography
pub_771,Barclay & Company
pub_772,Printed by J. Haehnlen
pub_773,J.L. Magee
pub_774,Othman ibn Abdul Manan
pub_775,Jacob Paucidrapii d Burgofranco
pub_776,Printed by Johannes Marion
pub_777,Printed by Sigismund Grim
pub_778,Melchiorre Sessa
pub_779,Hylaea
pub_780,Thomas Jefferys
pub_781,Sherman & Smith
pub_782,Leopold Gast & Brother
pub_783,J. Melish
pub_784,John Arrowsmith
pub_785,W. Faden
pub_786,WPA Federal Art Project
pub_787,"Pennsylvania Art Project, WPA"
pub_788,"Federal Art Project, WPA"
pub_789,A. Finley
pub_790,Robert Kennedy
pub_791,T. M. Fowler & James B. Moyer
pub_792,Gentleman’s Magazine
pub_793,S. Bott
pub_794,Ruger & Stoner
pub_795,J. J. Stoner
pub_796,Parovaia tipografia preemnikov O.D. Khodushinoi
pub_797,ROSTA
pub_798,Segodnyashnii Lubok
pub_799,RSFSR. State Publishing House
pub_800,Vilner ferlag fun B.A. Kletskin
pub_801,"Department of Education, St. Petersburg"
pub_802,Rome Brothers
pub_803,Phillips & Taylor
pub_804,Shaikh Abdul Karim
pub_805,Mansoor Press
pub_806,Meera Meer Books
pub_807,Army Press
pub_808,Islamia Steem Press
pub_809,Rangeen Press
pub_810,Munshi Nool Kashor
pub_811,Dilgudaz Press
pub_812,Mujtabai Press
pub_813,Gulshan Faiz
pub_814,Delhi Printing Works
pub_815,Punjab Government Press
pub_816,Munshi Nol Kashor
pub_817,Parkash Steem Press
pub_818,Shudetang
pub_819,Zhou Yuejiao
